run,model,policy_class,d,seed,alpha,memory_dim,features_hidden,train_steps,n_envs,lr,gamma,gae_lambda,ent_coef,clip_range,rollout_n_steps,batch_size,vf_coef,max_grad_norm,layout_name,fixed_order,fixed_switch,switch_low,switch_high,episode_len,shaping,shaping_gate,both_success_bonus,wrong_goal_penalty,step_penalty,blocked_penalty,blocked_streak,miss0_penalty,success_ab,success_ba,phase0_rate,phase1_rate,avg_return,avg_phase0_time,avg_phase1_time,wrong_hits_per_ep
20260317-163140_modelM_d32_mem16_layouteasy_orderBA_switch30_seed6_nenv4,M,MemoryLstmPolicy,32,6,0.1,16,128,300000,4,0.0003,0.995,0.95,0.01,0.2,512,256,0.5,0.5,easy,BA,25,,,70,0.02,20.0,6.0,0.01,-0.005,0.02,3,0.0,0.0,1.0,1.0,1.0,7.4499999999999895,12.0,31.0,0.0
20260317-163140_modelM_d32_mem16_layouteasy_orderBA_switch30_seed6_nenv4,M,MemoryLstmPolicy,32,6,0.1,16,128,300000,4,0.0003,0.995,0.95,0.01,0.2,512,256,0.5,0.5,easy,BA,30,,,70,0.02,20.0,6.0,0.01,-0.005,0.02,3,0.0,0.0,1.0,1.0,1.0,7.2499999999999885,12.0,31.0,0.0
20260317-163140_modelM_d32_mem16_layouteasy_orderBA_switch30_seed6_nenv4,M,MemoryLstmPolicy,32,6,0.1,16,128,300000,4,0.0003,0.995,0.95,0.01,0.2,512,256,0.5,0.5,easy,BA,35,,,70,0.02,20.0,6.0,0.01,-0.005,0.02,3,0.0,0.0,0.0,1.0,0.0,0.33,12.0,,2.0
20260317-163140_modelM_d32_mem16_layouteasy_orderBA_switch30_seed6_nenv4,M,MemoryLstmPolicy,32,6,0.1,16,128,300000,4,0.0003,0.995,0.95,0.01,0.2,512,256,0.5,0.5,easy,BA,40,,,70,0.02,20.0,6.0,0.01,-0.005,0.02,3,0.0,0.0,0.0,1.0,0.0,0.4500000000000001,12.0,,2.0
20260317-165820_modelM_d32_mem16_layouteasy_orderBA_switch30_seed7_nenv4,M,MemoryLstmPolicy,32,7,0.1,16,128,300000,4,0.0003,0.995,0.95,0.01,0.2,512,256,0.5,0.5,easy,BA,25,,,70,0.02,20.0,6.0,0.01,-0.005,0.02,3,0.0,0.0,1.0,1.0,1.0,7.289999999999991,12.0,31.0,0.0
20260317-165820_modelM_d32_mem16_layouteasy_orderBA_switch30_seed7_nenv4,M,MemoryLstmPolicy,32,7,0.1,16,128,300000,4,0.0003,0.995,0.95,0.01,0.2,512,256,0.5,0.5,easy,BA,30,,,70,0.02,20.0,6.0,0.01,-0.005,0.02,3,0.0,0.0,1.0,1.0,1.0,7.089999999999988,12.0,31.0,0.0
20260317-165820_modelM_d32_mem16_layouteasy_orderBA_switch30_seed7_nenv4,M,MemoryLstmPolicy,32,7,0.1,16,128,300000,4,0.0003,0.995,0.95,0.01,0.2,512,256,0.5,0.5,easy,BA,35,,,70,0.02,20.0,6.0,0.01,-0.005,0.02,3,0.0,0.0,0.0,1.0,0.0,0.20999999999999994,12.0,,1.0
20260317-165820_modelM_d32_mem16_layouteasy_orderBA_switch30_seed7_nenv4,M,MemoryLstmPolicy,32,7,0.1,16,128,300000,4,0.0003,0.995,0.95,0.01,0.2,512,256,0.5,0.5,easy,BA,40,,,70,0.02,20.0,6.0,0.01,-0.005,0.02,3,0.0,0.0,0.0,1.0,0.0,0.24999999999999997,12.0,,1.0
20260317-172459_modelM_d32_mem16_layouteasy_orderBA_switch30_seed8_nenv4,M,MemoryLstmPolicy,32,8,0.1,16,128,300000,4,0.0003,0.995,0.95,0.01,0.2,512,256,0.5,0.5,easy,BA,25,,,70,0.02,20.0,6.0,0.01,-0.005,0.02,3,0.0,0.0,1.0,1.0,1.0,7.709999999999988,12.0,31.0,0.0
20260317-172459_modelM_d32_mem16_layouteasy_orderBA_switch30_seed8_nenv4,M,MemoryLstmPolicy,32,8,0.1,16,128,300000,4,0.0003,0.995,0.95,0.01,0.2,512,256,0.5,0.5,easy,BA,30,,,70,0.02,20.0,6.0,0.01,-0.005,0.02,3,0.0,0.0,1.0,1.0,1.0,7.50999999999999,12.0,31.0,0.0
20260317-172459_modelM_d32_mem16_layouteasy_orderBA_switch30_seed8_nenv4,M,MemoryLstmPolicy,32,8,0.1,16,128,300000,4,0.0003,0.995,0.95,0.01,0.2,512,256,0.5,0.5,easy,BA,35,,,70,0.02,20.0,6.0,0.01,-0.005,0.02,3,0.0,0.0,1.0,1.0,1.0,7.589999999999999,12.0,64.0,2.0
20260317-172459_modelM_d32_mem16_layouteasy_orderBA_switch30_seed8_nenv4,M,MemoryLstmPolicy,32,8,0.1,16,128,300000,4,0.0003,0.995,0.95,0.01,0.2,512,256,0.5,0.5,easy,BA,40,,,70,0.02,20.0,6.0,0.01,-0.005,0.02,3,0.0,0.0,1.0,1.0,1.0,7.709999999999997,12.0,64.0,2.0
20260317-175145_modelM_d32_mem16_layouteasy_orderBA_switch30_seed9_nenv4,M,MemoryLstmPolicy,32,9,0.1,16,128,300000,4,0.0003,0.995,0.95,0.01,0.2,512,256,0.5,0.5,easy,BA,25,,,70,0.02,20.0,6.0,0.01,-0.005,0.02,3,0.0,0.0,1.0,1.0,1.0,7.689999999999997,12.0,32.0,0.0
20260317-175145_modelM_d32_mem16_layouteasy_orderBA_switch30_seed9_nenv4,M,MemoryLstmPolicy,32,9,0.1,16,128,300000,4,0.0003,0.995,0.95,0.01,0.2,512,256,0.5,0.5,easy,BA,30,,,70,0.02,20.0,6.0,0.01,-0.005,0.02,3,0.0,0.0,1.0,1.0,1.0,7.489999999999993,12.0,32.0,0.0
20260317-175145_modelM_d32_mem16_layouteasy_orderBA_switch30_seed9_nenv4,M,MemoryLstmPolicy,32,9,0.1,16,128,300000,4,0.0003,0.995,0.95,0.01,0.2,512,256,0.5,0.5,easy,BA,35,,,70,0.02,20.0,6.0,0.01,-0.005,0.02,3,0.0,0.0,0.0,1.0,0.0,0.5300000000000002,12.0,,1.0
20260317-175145_modelM_d32_mem16_layouteasy_orderBA_switch30_seed9_nenv4,M,MemoryLstmPolicy,32,9,0.1,16,128,300000,4,0.0003,0.995,0.95,0.01,0.2,512,256,0.5,0.5,easy,BA,40,,,70,0.02,20.0,6.0,0.01,-0.005,0.02,3,0.0,0.0,0.0,1.0,0.0,0.6500000000000002,12.0,,1.0
